"species","hap.chrom"
"Atelocynus_microtis",37
"Canis_latrans",39
"Canis_lupus",39
"Cuon_alpinus",39
"Chrysocyon_brachyurus",38
"Lycaon_pictus",19
"Nyctereutes_procyonoides",21
"Otocyon_megalotis",36
"Speothos_venaticus",37
"Urocyon_cinereoargenteus",33
"Vulpes_vulpes",18
"Vulpes_vulpes",17
"Vulpes_corsac",18
"Vulpes_macrotis",25
"Cryptoprocta_ferox",21
"Fossa_fossana",21
"Galidia_elegans",22
"Acinonyx_jubatus",19
"Caracal_caracal",19
"Felis_catus",19
"Felis_chaus",19
"Felis_margarita",19
"Felis_nigripes",19
"Felis_silvestris",19
"Leopardus_geoffroyi",18
"Leopardus_pardalis",18
"Leopardus_tigrinus",19
"Leopardus_tigrinus",18
"Leopardus_colocolo",18
"Leptailurus_serval",19
"Lynx_lynx",19
"Lynx_rufus",19
"Neofelis_nebulosa",19
"Panthera_leo",19
"Panthera_pardus",19
"Panthera_tigris",19
"Prionailurus_bengalensis",19
"Prionailurus_viverrinus",19
"Puma_concolor",19
"Uncia_uncia",19
"Atilax_paludinosus",18
"Helogale_parvula",18
"Herpestes_auropunctatus",18
"Herpestes_javanicus",18
"Suricata_suricatta",18
"Crocuta_crocuta",20
"Parahyaena_brunnea",20
"Proteles_cristatus",20
"Mephitis_mephitis",25
"Mephitis_macroura",25
"Spilogale_gracilis",30
"Eira_barbara",19
"Enhydra_lutris",19
"Galictis_vittata",19
"Gulo_gulo",21
"Ictonyx_striatus",19
"Lutra_lutra",18
"Lutra_lutra",19
"Martes_americana",19
"Martes_flavigula",20
"Martes_foina",19
"Martes_martes",19
"Martes_melampus",19
"Martes_zibellina",19
"Meles_meles",22
"Mellivora_capensis",20
"Melogale_moschata",19
"Mustela_altaica",22
"Mustela_erminea",22
"Mustela_frenata",21
"Mustela_lutreola",19
"Mustela_nivalis",21
"Mustela_sibirica",19
"Mustela_itatsi",19
"Mustela_nigripes",19
"Spilogale_putorius",32
"Taxidea_taxus",16
"Vormela_peregusna",19
"Nandinia_binotata",19
"Odobenus_rosmarus",16
"Arctocephalus_pusillus",18
"Callorhinus_ursinus",18
"Eumetopias_jubatus",18
"Zalophus_californianus",18
"Phocarctos_hookeri",18
"Arctocephalus_forsteri",18
"Cystophora_cristata",17
"Erignathus_barbatus",17
"Halichoerus_grypus",16
"Mirounga_angustirostris",17
"Monachus_schauinslandi",17
"Phoca_fasciata",16
"Phoca_groenlandica",16
"Phoca_vitulina",16
"Pusa_hispida",16
"Phoca_largha",16
"Pusa_sibirica",16
"Ailurus_fulgens",18
"Bassariscus_astutus",19
"Nasua_nasua",19
"Potos_flavus",19
"Procyon_lotor",19
"Ailuropoda_melanoleuca",21
"Helarctos_malayanus",37
"Tremarctos_ornatus",26
"Ursus_americanus",37
"Ursus_arctos",37
"Ursus_maritimus",37
"Ursus_thibetanus",37
"Arctictis_binturong",21
"Genetta_genetta",27
"Genetta_tigrina",27
"Hemigalus_derbyanus",21
"Paguma_larvata",22
"Prionodon_linsang",17
"Viverricula_indica",19
"Genetta_johnstoni",25
"Genetta_maculata",26
"Genetta_pardina",26
"Viverricula_indica",18
